zone,temperature,vegetation,building_density,population,vulnerability,cooling_access,water_access,hospital_capacity,heat_risk_score,risk_class
Z0331,35.52,51.92,77.19,20344,54.34,18.21,18.57,37.07,47.96,1
Z0332,35.78,49.53,63.76,34167,20.74,72.6,83.54,99.05,27.02,0
Z0333,39.22,14.91,34.6,30104,27.15,82.54,19.29,49.4,47.04,1
Z0334,37.99,33.7,82.87,13725,71.33,70.94,16.16,65.06,55.09,2
Z0335,41.1,17.31,52.83,18962,70.25,23.62,47.05,74.93,63.36,2
Z0336,43.6,11.5,36.53,13071,67.17,44.56,96.69,45.16,63.24,2
Z0337,36.4,25.77,35.48,41267,68.08,74.91,35.64,95.3,40.04,1
Z0338,35.27,68.53,86.93,18464,61.42,55.86,77.31,43.64,37.28,1
Z0339,35.55,72.34,92.05,37432,50.87,31.7,67.43,25.68,41.03,1
Z0340,43.89,5.91,53.47,25740,30.56,87.47,61.15,49.23,61.06,2
Z0341,41.83,62.2,92.04,9783,21.34,16.08,33.6,23.19,62.04,2
Z0342,35.6,64.2,62.93,46194,77.01,79.04,48.12,52.18,37.85,1
Z0343,41.41,45.32,39.92,10478,44.79,56.02,28.29,84.64,52.46,1
Z0344,40.36,34.3,71.23,47587,74.48,15.95,72.88,78.4,60.0,2
Z0345,43.46,9.34,35.6,33474,29.28,65.11,14.95,73.29,62.05,2
Z0346,41.58,18.17,30.82,13992,76.12,24.74,95.77,61.84,57.91,2
Z0347,42.83,59.06,40.85,13318,79.98,88.61,75.96,29.44,54.83,1
Z0348,44.0,30.13,57.91,39331,25.11,74.11,61.9,26.17,60.02,2
Z0349,39.55,32.01,62.47,42151,33.35,24.16,79.6,91.54,48.28,1
Z0350,41.74,13.65,78.15,5168,23.52,87.66,32.01,57.74,58.57,2
Z0351,38.83,16.26,90.53,7317,64.23,92.26,76.66,53.55,52.7,1
Z0352,38.22,36.22,76.82,22777,86.08,61.44,20.75,73.87,56.74,2
Z0353,35.53,21.74,63.53,8009,96.33,16.2,51.86,42.58,53.36,1
Z0354,43.45,29.55,65.95,5522,49.51,36.24,80.61,79.17,62.59,2
Z0355,37.43,32.62,93.17,17807,78.6,59.19,81.64,32.05,52.46,1
Z0356,44.32,6.79,65.2,46677,87.17,88.95,95.59,20.12,70.35,2
Z0357,41.57,68.68,77.27,11812,36.42,98.48,47.78,96.89,47.0,1
Z0358,44.73,15.68,48.19,7877,93.7,90.76,56.78,76.07,69.55,2
Z0359,38.72,78.09,35.52,11263,60.43,67.35,45.49,67.35,39.2,1
Z0360,35.62,54.68,38.5,24115,40.88,38.35,82.07,76.06,29.73,0
Z0361,42.35,28.85,47.68,9894,95.48,22.25,79.31,28.72,67.61,2
Z0362,36.06,38.72,50.41,12912,62.87,96.82,28.69,44.66,39.57,1
Z0363,37.65,13.99,40.24,49961,44.34,73.42,64.3,37.2,42.91,1
Z0364,43.57,16.12,76.23,28313,51.7,14.41,36.9,85.61,73.06,2
Z0365,36.74,76.41,85.55,41434,79.85,32.49,51.58,84.31,45.94,1
Z0366,36.4,5.9,83.97,19567,30.46,84.13,43.5,70.42,44.19,1
Z0367,41.45,48.67,46.82,9914,21.74,15.8,91.22,55.47,48.85,1
Z0368,36.29,72.88,83.91,26728,29.8,94.81,14.56,93.93,34.36,0
Z0369,39.33,59.33,62.25,30082,74.66,25.55,29.32,34.97,57.39,2
Z0370,37.8,71.26,32.25,45578,69.36,68.26,54.9,90.62,36.1,1
Z0371,39.79,11.58,54.9,32474,35.96,89.62,57.32,70.46,48.04,1
Z0372,43.02,64.61,94.31,28534,58.37,80.33,40.96,65.25,61.88,2
Z0373,38.22,25.28,31.69,44132,37.52,90.62,80.07,24.69,37.93,1
Z0374,44.92,44.71,79.84,20254,97.92,19.01,69.12,41.32,78.83,3
Z0375,43.16,73.79,33.63,19379,66.06,98.44,44.96,94.82,49.29,1
Z0376,44.92,18.03,45.38,25840,84.5,72.79,92.26,22.26,68.91,2
Z0377,42.01,76.07,66.63,41903,95.87,85.3,82.94,97.63,52.28,1
Z0378,40.42,18.17,32.47,8681,38.61,29.69,57.38,20.05,54.49,1
Z0379,44.18,20.11,38.48,16630,93.5,85.99,39.12,21.75,70.72,2
Z0380,40.87,73.79,80.33,39491,88.85,96.45,43.62,95.35,53.13,1
Z0381,38.96,12.58,49.61,13942,98.07,75.91,49.32,71.14,56.05,2
Z0382,39.87,28.8,75.97,41829,75.48,93.6,80.83,37.86,53.68,1
Z0383,40.89,18.15,49.94,24301,30.19,75.59,95.39,95.9,45.07,1
Z0384,38.92,79.57,92.74,7122,34.57,38.64,82.79,68.91,43.32,1
Z0385,41.4,12.81,62.25,26703,79.63,31.42,98.41,33.43,63.9,2
Z0386,43.85,11.65,76.08,46884,78.34,40.22,11.03,36.77,81.01,3
Z0387,41.93,31.29,81.16,5083,23.85,49.44,47.77,33.31,60.47,2
Z0388,39.14,71.13,52.83,29598,28.11,53.15,87.76,72.08,36.2,1
Z0389,41.87,17.2,34.79,7189,43.59,38.68,95.65,25.94,55.06,2
Z0390,36.7,33.16,77.58,40851,95.35,98.02,40.42,98.82,47.28,1
Z0391,43.93,57.84,58.04,47836,33.2,90.08,24.14,28.1,58.98,2
Z0392,37.06,19.25,75.32,40397,41.22,35.34,31.38,23.97,52.89,1
Z0393,40.72,67.99,39.98,28647,20.31,17.89,84.15,70.01,42.29,1
Z0394,39.8,12.27,43.45,46824,43.34,17.37,85.94,44.67,53.02,1
Z0395,38.97,41.68,72.97,10972,71.35,44.88,43.39,50.52,55.97,2
Z0396,36.87,8.35,58.58,22262,38.1,34.17,15.55,80.18,49.87,1
Z0397,41.67,11.43,52.35,40484,53.12,78.08,30.48,24.88,62.03,2
Z0398,38.87,44.19,92.77,36118,65.82,31.21,36.9,51.58,59.38,2
Z0399,43.54,7.6,67.13,38870,84.04,70.98,65.82,29.62,71.99,2
Z0400,42.57,17.97,93.98,18886,84.68,21.36,48.1,99.06,74.92,2
Z0401,39.35,79.8,70.77,43997,40.63,91.97,92.28,25.36,38.11,1
Z0402,38.88,34.8,51.2,23101,61.58,92.54,11.11,76.03,49.17,1
Z0403,40.88,63.63,37.31,14806,31.86,62.91,78.25,95.17,39.58,1
Z0404,44.25,47.2,36.56,23749,89.4,89.21,89.01,41.13,59.68,2
Z0405,41.55,47.9,60.75,16285,42.03,22.95,64.78,75.49,55.33,2
Z0406,35.39,71.72,51.55,20569,23.94,52.77,34.17,49.8,30.55,0
Z0407,38.38,64.52,50.21,37218,88.66,71.64,97.52,38.24,42.46,1
Z0408,38.0,60.78,80.31,26028,41.55,47.51,68.1,35.03,44.86,1
Z0409,37.11,66.8,78.16,38849,89.38,83.89,56.37,32.72,45.79,1
Z0410,38.11,43.01,38.82,39359,90.35,12.61,27.35,86.63,53.93,1
Z0411,43.37,23.71,59.67,28617,76.37,34.66,84.12,60.41,67.06,2
Z0412,41.35,14.29,31.99,29409,59.1,50.15,96.45,57.97,53.02,1
Z0413,40.51,30.82,84.45,21951,79.92,72.0,35.66,50.93,63.26,2
Z0414,36.63,47.92,92.72,19506,71.79,70.99,34.22,52.76,49.22,1
Z0415,35.2,63.52,79.89,5583,57.93,21.91,25.59,84.07,42.79,1
Z0416,37.24,50.63,91.3,47122,42.03,90.59,86.64,56.72,38.56,1
Z0417,37.18,27.66,63.84,45868,51.77,19.21,56.04,72.99,48.57,1
Z0418,43.43,33.07,72.08,44914,42.61,71.6,53.36,46.9,62.7,2
Z0419,37.76,29.39,48.0,47999,76.89,90.31,36.89,31.99,48.3,1
Z0420,42.65,72.48,82.35,44323,52.33,38.76,22.59,22.04,65.06,2
Z0421,39.97,27.17,88.95,31515,51.06,13.18,73.73,65.76,59.87,2
Z0422,36.9,59.49,44.45,40037,71.07,52.82,94.66,48.68,36.92,1
Z0423,38.0,17.75,72.74,41585,34.49,18.78,21.51,40.69,56.36,2
Z0424,43.08,62.22,41.9,49545,91.97,68.9,30.0,37.87,63.21,2
Z0425,43.71,36.54,87.64,29358,40.84,36.46,86.61,57.64,64.75,2
Z0426,43.66,48.77,91.38,9667,57.78,27.51,20.78,74.46,72.5,2
Z0427,40.3,35.98,86.61,14881,30.99,28.03,46.83,65.55,57.37,2
Z0428,44.07,39.32,50.56,16819,82.32,53.88,66.79,34.15,67.46,2
Z0429,41.34,5.35,47.78,16049,66.1,24.26,80.67,82.38,60.7,2
Z0430,36.29,37.53,57.91,33116,97.23,44.5,13.4,35.95,53.94,1
Z0431,38.73,6.06,50.94,39801,35.25,70.91,66.4,39.91,47.49,1
Z0432,41.94,30.83,38.38,30136,60.27,37.55,15.88,23.66,64.45,2
Z0433,44.48,39.19,63.82,39348,47.03,89.92,99.59,47.42,57.88,2
Z0434,44.01,31.94,42.25,31436,21.53,30.19,98.64,36.9,57.09,2
Z0435,35.22,42.85,38.01,47633,83.37,43.77,67.63,81.7,37.21,1
Z0436,41.23,49.54,33.12,12085,72.29,11.78,72.08,53.34,56.02,2
Z0437,38.8,46.05,60.84,15035,36.44,71.72,10.84,53.67,48.15,1
Z0438,36.01,44.02,70.48,13989,53.51,90.88,56.04,69.42,36.86,1
Z0439,37.83,63.86,62.35,44911,35.98,33.67,57.08,36.13,42.77,1
Z0440,42.03,27.15,32.56,37529,92.83,71.94,53.26,38.76,61.38,2
Z0441,35.13,11.68,37.18,42627,73.52,23.42,18.11,60.94,48.04,1
Z0442,42.24,12.6,46.63,20149,56.54,97.96,33.77,24.01,60.92,2
Z0443,43.13,70.56,85.4,28607,84.13,38.14,76.47,27.6,66.4,2
Z0444,42.58,8.44,85.38,48473,71.78,39.58,90.51,96.41,67.22,2
Z0445,37.68,59.98,54.22,27460,34.63,46.07,96.61,41.75,36.02,1
Z0446,38.86,68.8,81.99,47522,90.89,25.01,21.93,78.11,58.58,2
Z0447,44.82,68.33,36.74,43715,58.61,61.2,49.43,68.91,58.99,2
Z0448,42.79,50.85,86.07,13562,58.65,53.93,89.88,55.26,60.31,2
Z0449,35.63,54.12,30.8,49428,61.99,76.93,75.14,37.92,30.6,0
Z0450,44.56,70.49,63.74,45516,27.62,69.55,32.37,47.66,59.23,2
Z0451,41.76,33.87,84.54,41591,91.36,65.16,11.05,94.75,69.24,2
Z0452,40.06,40.2,62.23,15839,25.99,54.25,31.68,97.61,48.9,1
Z0453,35.5,21.7,71.82,31429,85.37,17.09,49.98,65.84,51.83,1
Z0454,35.88,42.38,50.54,37595,79.62,11.6,46.31,22.87,48.87,1
Z0455,40.49,66.94,81.47,45571,71.0,90.11,60.61,72.37,50.61,1
Z0456,39.56,30.56,83.65,19609,87.55,39.88,79.07,68.0,59.49,2
Z0457,42.17,32.25,59.41,11385,80.75,29.96,40.72,86.39,66.3,2
Z0458,44.64,26.9,63.93,11967,23.66,24.77,22.64,77.35,69.43,2
Z0459,42.22,13.02,69.71,17290,29.66,86.7,29.4,85.96,58.69,2
Z0460,36.91,30.35,79.21,8047,94.13,85.37,62.99,81.77,48.24,1
Z0461,39.51,54.38,92.15,13823,97.11,10.39,76.26,64.26,61.87,2
Z0462,39.33,48.88,90.08,16613,75.35,25.63,83.37,28.28,58.15,2
Z0463,41.58,50.46,50.92,30209,53.49,64.81,72.33,39.86,52.11,1
Z0464,38.98,30.71,49.12,13740,31.05,64.23,89.78,60.98,40.91,1
Z0465,43.43,46.09,50.4,41279,70.61,28.08,66.18,43.25,64.94,2
Z0466,38.45,55.43,93.79,47604,98.01,26.0,58.82,70.95,58.78,2
Z0467,42.1,62.06,66.55,43194,65.65,70.04,47.57,79.83,56.08,2
Z0468,43.41,26.44,85.07,5836,61.82,12.27,23.08,73.62,76.09,3
Z0469,37.0,61.26,40.46,23783,74.67,23.18,15.58,82.75,46.06,1
Z0470,37.04,45.59,53.31,34661,28.2,88.12,76.55,89.19,30.58,0
Z0471,42.42,47.1,45.44,23850,75.43,14.23,44.34,53.33,64.82,2
Z0472,42.88,56.39,92.78,8525,21.04,32.62,65.85,82.47,58.29,2
Z0473,43.7,67.25,89.25,47443,49.42,62.95,76.46,35.72,61.09,2
Z0474,42.25,19.51,59.17,49738,25.96,96.62,76.16,29.55,52.83,1
Z0475,35.41,25.93,47.18,15546,66.72,32.95,39.75,76.78,43.3,1
Z0476,36.55,16.53,50.97,8332,81.89,66.28,85.88,44.09,44.67,1
Z0477,42.9,46.26,34.74,25831,62.03,96.13,56.85,82.9,51.83,1
Z0478,36.59,45.73,56.22,27898,37.7,29.2,39.87,48.86,42.66,1
Z0479,37.18,61.45,64.48,41787,85.9,98.3,10.79,73.52,45.31,1
Z0480,39.46,72.84,69.89,45706,39.51,13.59,89.71,50.51,46.0,1
Z0481,42.96,13.5,46.68,23535,21.98,56.52,79.34,61.14,55.52,2
Z0482,40.09,41.51,49.27,47698,35.4,56.25,95.34,33.39,44.91,1
Z0483,44.56,45.35,30.48,9290,36.86,66.66,29.19,74.83,58.66,2
Z0484,43.36,20.42,83.87,33523,71.72,94.58,77.22,32.3,66.55,2
Z0485,39.59,29.88,35.69,8556,34.24,32.67,16.34,85.73,50.6,1
Z0486,44.11,35.57,59.32,31505,54.64,11.52,70.6,62.79,67.74,2
Z0487,41.41,51.38,79.14,43378,23.64,86.34,42.19,60.23,51.09,1
Z0488,37.9,56.44,69.43,23449,81.22,49.39,45.56,72.86,49.69,1
Z0489,39.74,45.01,38.86,30624,83.74,86.45,36.55,70.72,50.02,1
Z0490,37.98,71.52,92.75,47463,49.85,95.45,59.82,64.41,40.86,1
Z0491,36.23,5.38,68.78,40202,63.8,17.66,28.9,79.31,54.16,1
Z0492,42.26,20.88,88.87,38590,31.4,26.56,65.52,40.22,65.47,2
Z0493,36.15,55.32,66.87,8564,88.11,93.91,99.49,56.9,36.2,1
Z0494,40.5,26.8,34.38,11435,35.79,62.25,95.64,48.57,44.78,1
Z0495,41.71,22.59,48.53,9574,92.01,38.6,50.56,69.31,65.45,2
Z0496,38.06,48.81,66.76,28887,84.62,96.28,25.18,45.06,50.16,1
Z0497,42.86,58.41,71.65,23132,87.21,22.09,75.97,90.23,64.32,2
Z0498,39.63,31.91,49.86,41154,28.71,68.1,17.38,42.45,50.21,1
Z0499,43.26,71.85,42.77,46066,26.12,16.79,11.68,60.57,58.47,2
Z0500,35.31,48.64,56.33,43668,37.02,13.3,33.46,91.52,38.39,1
Z0501,40.4,54.04,39.66,30722,37.86,79.49,75.99,43.28,42.0,1
Z0502,39.65,43.28,55.79,37910,20.85,31.5,96.76,98.55,41.19,1
Z0503,41.84,61.79,39.12,15434,34.33,95.38,69.35,97.42,40.93,1
Z0504,42.36,41.26,53.32,19340,80.92,30.86,33.79,38.72,67.62,2
Z0505,41.69,43.84,81.44,30434,57.57,50.92,14.18,98.45,62.9,2
Z0506,38.24,57.78,63.89,22923,86.79,33.7,58.99,33.91,52.69,1
Z0507,41.54,32.4,72.47,10101,61.33,43.87,91.65,61.31,58.2,2
Z0508,38.53,70.08,61.65,36595,90.97,10.59,89.38,55.19,50.21,1
Z0509,37.3,43.59,48.25,14846,34.95,42.6,74.56,29.47,39.65,1
Z0510,37.3,65.84,76.82,36556,74.02,53.11,63.17,71.78,44.44,1
Z0511,39.11,23.28,38.31,43820,32.89,66.66,13.53,65.78,48.21,1
Z0512,35.56,24.37,41.7,31571,67.95,60.72,11.68,77.56,43.35,1
Z0513,41.62,26.26,35.57,34438,68.52,52.43,53.35,37.55,59.07,2
Z0514,39.11,15.7,67.87,16919,69.86,55.97,25.09,74.85,58.78,2
Z0515,44.22,49.74,34.47,29786,50.84,19.77,28.21,88.77,63.77,2
Z0516,40.04,36.48,39.72,11311,34.19,91.14,63.98,90.22,40.72,1
Z0517,40.31,61.43,36.06,48213,30.43,64.31,84.48,91.76,37.23,1
Z0518,42.75,53.69,63.93,29273,89.99,72.79,48.61,95.07,61.39,2
Z0519,39.82,62.65,52.78,42756,27.82,22.05,52.94,38.6,47.73,1
Z0520,43.59,26.25,86.99,31781,40.62,10.49,76.93,20.57,71.21,2
Z0521,40.23,43.98,54.38,18462,75.02,38.43,42.6,32.38,58.77,2
Z0522,41.52,24.02,85.57,32758,65.17,65.07,99.26,51.8,59.53,2
Z0523,37.04,46.41,66.24,16712,49.62,59.94,32.84,44.53,45.02,1
Z0524,38.44,57.91,77.83,48206,29.53,30.68,80.48,95.94,41.83,1
Z0525,36.0,43.13,81.1,41082,69.12,71.61,14.68,51.13,47.89,1
Z0526,41.36,65.33,83.51,35911,94.07,49.18,15.77,37.74,67.53,2
Z0527,35.8,7.83,54.98,31256,69.12,56.89,74.04,67.8,43.36,1
Z0528,44.46,66.52,71.62,33768,20.86,86.55,93.77,61.45,51.16,1
Z0529,36.95,63.8,63.19,20182,69.22,70.66,42.38,72.4,41.21,1
Z0530,44.76,11.51,47.94,31177,48.25,45.56,62.75,61.42,68.07,2
Z0531,42.37,10.15,35.86,23644,78.09,60.32,62.46,47.8,63.01,2
Z0532,43.16,21.97,92.6,34803,94.38,61.74,33.5,52.57,77.06,3
Z0533,36.06,10.43,49.13,12668,84.24,96.1,88.85,85.05,38.89,1
Z0534,40.75,57.06,92.79,41907,58.69,31.89,40.57,82.05,60.06,2
Z0535,41.82,72.24,86.03,36586,29.3,16.08,67.03,99.54,53.62,1
Z0536,41.77,22.24,50.52,28140,61.32,10.88,84.9,39.86,62.18,2
Z0537,35.93,55.53,83.37,9982,64.36,26.06,38.25,37.49,48.32,1
Z0538,40.74,18.71,78.5,17462,59.92,27.97,76.19,89.82,60.26,2
Z0539,37.07,20.21,46.23,45540,48.48,80.1,20.79,26.28,45.98,1
Z0540,44.56,41.95,30.43,40486,96.64,86.32,43.41,45.23,66.21,2
Z0541,43.98,71.07,67.34,23004,59.26,98.6,92.44,42.42,54.05,1
Z0542,37.22,48.25,33.52,32733,58.27,58.67,55.22,51.5,39.23,1
Z0543,41.86,18.11,93.47,38961,56.81,72.03,11.06,36.86,70.26,2
Z0544,40.81,29.41,69.83,22019,34.97,33.66,34.25,96.68,57.12,2
Z0545,38.43,18.79,57.56,32465,76.06,43.51,86.89,42.37,52.36,1
Z0546,36.8,14.84,67.43,19979,85.14,74.87,82.37,64.43,47.11,1
Z0547,43.56,19.7,82.0,14800,57.84,10.88,47.94,30.76,76.29,3
Z0548,43.93,52.3,64.71,25691,82.83,37.0,60.59,65.43,68.05,2
Z0549,38.98,56.79,33.9,21665,58.12,66.69,50.49,46.77,43.18,1
Z0550,38.61,47.03,90.57,21889,47.53,47.06,41.6,74.37,51.91,1
Z0551,41.06,48.26,72.24,40287,33.96,80.23,41.96,73.86,50.95,1
Z0552,39.87,60.24,87.83,29973,69.09,51.74,96.09,89.46,49.87,1
Z0553,41.41,74.64,57.42,45128,65.73,86.4,16.42,32.96,54.56,1
Z0554,37.28,28.77,48.94,22529,68.43,45.59,89.89,82.48,42.46,1
Z0555,44.39,61.09,63.86,34510,53.12,26.55,12.08,78.22,68.77,2
Z0556,41.62,75.53,75.55,10247,36.85,45.73,18.6,94.94,54.21,1
Z0557,39.73,9.04,80.11,39339,81.2,17.49,33.62,32.42,70.3,2
Z0558,41.55,71.41,50.11,21213,79.01,49.88,21.38,62.14,58.07,2
Z0559,36.71,7.64,53.19,26312,89.14,52.05,88.38,94.79,46.54,1
Z0560,40.49,15.13,91.65,40342,34.16,63.78,66.79,70.87,56.46,2
Z0561,40.64,44.26,71.57,25293,92.71,53.35,30.44,27.16,65.19,2
Z0562,38.08,35.92,40.12,5691,20.01,83.38,86.32,47.51,33.52,0
Z0563,39.69,5.62,89.94,36265,43.97,78.93,81.82,67.76,53.86,1
Z0564,42.97,46.12,42.26,41736,54.97,32.49,74.34,71.68,57.3,2
Z0565,43.28,21.54,35.15,45981,39.16,78.81,91.9,84.61,51.47,1
Z0566,41.85,26.35,78.29,22617,53.03,86.81,26.42,43.17,62.8,2
Z0567,41.37,51.33,47.69,45812,59.36,38.86,23.69,97.58,56.33,2
Z0568,35.22,77.92,48.34,13194,77.22,75.44,30.95,32.05,35.57,1
Z0569,39.94,30.64,50.25,37662,99.84,51.73,81.23,46.42,57.11,2
Z0570,43.44,76.37,33.64,30717,25.71,52.31,27.3,87.32,50.43,1
Z0571,43.17,67.12,37.93,21315,50.78,97.75,32.24,99.56,49.78,1
Z0572,36.99,60.15,36.11,48647,98.57,52.55,71.33,44.97,42.52,1
Z0573,38.23,52.19,32.74,41017,61.67,32.8,67.47,35.9,44.2,1
Z0574,43.88,69.77,44.16,12400,38.88,49.07,11.36,83.55,58.39,2
Z0575,40.85,34.69,45.8,7752,66.49,72.17,71.96,32.4,53.15,1
Z0576,42.71,23.65,62.49,49954,69.49,93.78,99.73,70.01,56.52,2
Z0577,35.6,53.34,75.59,12038,30.07,30.94,98.35,83.08,32.56,0
Z0578,42.57,65.41,58.52,17646,21.71,44.0,75.2,40.06,51.0,1
Z0579,35.39,58.0,66.34,40568,75.76,27.08,26.8,47.81,46.02,1
Z0580,42.32,25.65,84.04,41341,32.83,57.8,50.44,85.55,60.55,2
Z0581,40.42,39.06,80.43,38158,50.32,26.7,11.68,88.55,61.74,2
Z0582,42.76,22.91,76.87,48141,97.37,83.71,27.09,74.66,71.17,2
Z0583,42.66,16.56,48.4,31856,71.27,19.94,57.09,25.33,69.47,2
Z0584,43.35,14.73,86.78,18243,28.56,27.25,12.86,71.34,72.57,2
Z0585,38.89,41.74,70.56,43685,40.48,42.97,64.54,25.67,50.02,1
Z0586,44.3,20.66,61.94,10240,57.44,67.5,42.48,79.48,67.74,2
Z0587,43.9,66.65,81.63,8820,85.89,33.92,13.66,25.63,75.8,3
Z0588,38.04,75.85,92.44,11364,28.1,30.79,44.68,35.45,46.5,1
Z0589,41.57,47.75,91.59,41596,79.94,47.37,19.5,71.09,68.03,2
Z0590,38.58,39.4,73.24,11822,33.34,26.24,46.14,47.0,51.23,1
Z0591,36.58,79.88,58.8,28089,92.2,59.51,99.72,87.59,35.11,1
Z0592,39.12,52.49,83.7,26197,68.67,60.68,29.25,81.26,54.3,1
Z0593,44.26,24.06,92.51,34327,96.79,10.02,13.12,42.76,88.12,3
Z0594,35.16,15.13,87.87,5430,44.03,29.97,87.01,21.74,45.22,1
Z0595,43.22,56.73,47.94,41284,60.9,61.36,61.45,27.54,58.82,2
Z0596,39.6,16.71,47.22,43152,39.99,33.06,37.03,65.64,54.1,1
Z0597,40.69,21.31,35.02,26279,83.43,25.56,84.31,75.17,56.9,2
Z0598,40.76,73.07,68.69,24686,22.99,82.75,44.34,82.41,43.25,1
Z0599,44.22,30.08,87.19,33462,53.32,88.1,88.28,38.14,64.68,2
Z0600,41.53,50.17,30.74,46431,50.6,37.43,13.71,63.19,55.99,2
Z0601,36.5,42.68,44.35,8310,73.89,99.76,97.39,80.23,32.09,0
Z0602,40.75,11.76,58.08,30842,31.84,40.26,52.83,79.63,55.69,2
Z0603,40.48,24.69,55.9,33474,81.91,21.73,22.14,64.74,65.79,2
Z0604,39.88,53.92,42.75,45369,99.77,57.18,31.81,41.3,56.96,2
Z0605,39.3,56.36,67.44,12374,73.74,48.12,41.35,45.66,54.4,1
Z0606,40.94,6.82,49.81,27919,69.3,99.11,49.8,31.67,58.19,2
Z0607,35.45,66.36,42.98,29498,32.48,75.56,17.72,79.17,29.42,0
Z0608,37.43,51.58,39.6,23853,21.1,72.44,20.02,56.0,36.61,1
Z0609,35.23,20.68,64.97,18356,63.71,77.53,59.39,69.84,39.7,1
Z0610,44.92,57.13,73.44,29681,66.64,69.72,13.91,33.63,72.17,2
Z0611,37.84,64.19,70.17,8478,57.2,95.07,15.99,72.83,43.25,1
Z0612,41.63,73.47,53.41,12070,21.53,88.07,68.45,38.49,42.53,1
Z0613,38.81,78.25,36.47,25673,58.77,63.74,17.92,35.91,44.01,1
Z0614,44.67,47.05,76.31,7605,39.79,57.65,40.02,51.47,67.02,2
Z0615,36.57,31.01,52.87,45975,44.19,99.64,98.07,42.07,32.74,0
Z0616,35.62,24.33,55.17,6931,95.53,95.42,30.3,47.34,45.88,1
Z0617,38.93,15.29,77.44,39125,96.85,65.12,66.3,38.19,60.58,2
Z0618,37.4,16.46,93.08,44673,46.34,58.8,28.61,31.09,55.36,2
Z0619,40.41,65.01,86.07,25250,75.08,90.88,91.86,54.41,49.67,1
Z0620,44.09,62.75,72.66,42017,93.37,38.57,60.16,95.89,68.09,2
Z0621,36.18,28.82,87.18,6932,81.23,89.21,47.26,52.9,48.2,1
Z0622,39.43,75.03,88.12,22943,32.16,26.91,21.84,22.1,54.1,1
Z0623,44.86,51.27,69.36,45131,38.47,30.9,71.86,48.74,65.35,2
Z0624,41.88,40.75,62.65,44630,57.5,68.46,26.56,51.0,60.5,2
Z0625,39.74,17.28,44.71,31777,81.16,11.35,34.29,53.04,63.29,2
Z0626,42.42,79.12,79.26,9334,34.17,95.92,49.54,69.36,49.4,1
Z0627,41.88,70.01,87.69,33020,52.39,13.76,76.18,50.43,59.63,2
Z0628,38.13,50.86,78.26,43915,62.89,67.73,73.37,23.08,47.67,1
Z0629,36.09,39.27,87.05,21103,61.5,45.61,76.17,64.62,44.26,1
Z0630,40.16,52.3,33.2,24082,55.16,89.6,79.63,42.87,41.83,1
Z0631,36.66,27.08,89.74,38880,92.29,51.72,68.15,27.24,54.89,1
Z0632,40.01,18.48,68.05,40809,30.82,47.22,50.58,34.31,55.58,2
Z0633,40.9,58.45,43.13,34798,27.21,39.17,68.37,76.92,44.89,1
Z0634,36.64,59.99,35.93,34451,70.73,17.68,73.66,78.15,38.88,1
Z0635,44.75,50.91,40.39,41067,50.45,79.14,92.1,65.24,54.86,1
Z0636,41.6,16.26,86.47,16722,81.53,14.62,37.73,78.41,73.39,2
Z0637,44.61,26.66,41.75,13622,96.83,10.32,78.89,20.98,75.65,3
Z0638,39.98,42.4,82.48,44844,90.62,31.41,63.0,58.06,62.19,2
Z0639,39.1,10.96,69.01,21037,90.57,35.03,66.58,85.61,60.16,2
Z0640,37.08,18.86,33.58,27873,22.94,86.84,70.03,87.04,31.84,0
Z0641,37.98,74.03,33.19,32325,99.5,24.52,35.59,72.87,48.1,1
Z0642,42.0,47.92,66.54,34841,79.95,42.42,13.23,81.48,66.14,2
Z0643,38.23,72.31,83.32,33005,87.46,15.84,52.37,29.76,56.14,2
Z0644,43.59,29.69,56.89,18752,75.67,65.08,19.84,78.38,68.8,2
Z0645,41.29,79.04,61.44,44634,94.71,98.77,35.85,68.71,53.54,1
Z0646,38.16,44.4,94.68,28190,94.17,65.29,54.68,78.33,55.25,2
Z0647,39.98,65.6,87.44,20251,76.69,98.13,10.14,21.92,57.79,2
Z0648,41.25,13.84,85.12,45324,99.92,47.26,40.04,64.83,72.47,2
Z0649,41.38,5.85,43.08,23456,40.35,16.11,37.03,64.0,62.25,2
Z0650,42.67,13.54,51.66,30955,77.95,65.44,12.62,34.05,70.91,2
Z0651,38.31,30.35,73.71,36096,83.78,68.11,53.33,70.18,53.33,1
Z0652,43.92,45.27,51.78,32128,94.22,15.04,56.9,65.2,71.42,2
Z0653,41.78,46.64,31.22,42840,74.84,81.96,89.92,48.29,49.66,1
Z0654,44.7,26.03,32.03,29591,70.12,85.82,61.39,51.17,63.23,2
Z0655,40.95,69.84,78.85,25611,76.79,34.43,17.81,90.16,60.99,2
Z0656,38.72,67.21,49.67,39412,44.19,20.1,80.64,82.22,40.96,1
Z0657,44.13,38.28,31.62,36631,92.4,23.87,40.61,58.68,70.88,2
Z0658,43.74,28.28,51.28,11439,85.77,94.42,70.9,30.62,64.47,2
Z0659,42.25,39.45,76.39,39232,29.27,37.99,13.96,87.85,62.08,2
Z0660,43.72,30.0,87.8,11756,61.65,69.31,38.12,66.2,70.02,2
Z0661,38.12,71.91,50.86,17618,42.93,57.9,79.55,73.69,35.22,1
Z0662,37.73,16.81,37.44,45825,64.77,19.21,58.83,63.95,49.99,1
